Type,# Threads,# Loops,Microseconds,Update Frequency
Locking V1, 4, 1000000, 244379,
No Locking, 10, 1000000, 43863,
Locking V1, 10, 1000000, 730746,
No Locking, 20, 1000000, 83028,
Locking V1, 20, 1000000, 1283084,
No Locking, 0, 1000000, 2102,
Locking V1, 0, 1000000, 6151,
No Locking, 1, 1000000, 2979,
Locking V1, 1, 1000000, 147982,
No Locking, 2, 1000000, 7284,
Locking V1, 2, 1000000, 92477,
No Locking, 4, 1000000, 10067,
Locking V1, 4, 1000000, 250975,
No Locking, 10, 1000000, 40500,
Locking V1, 10, 1000000, 717750,
No Locking, 20, 1000000, 82356,
Locking V1, 20, 1000000, 1178782,
No Locking, 0, 1000000, 2033,
Locking V1, 0, 1000000, 6140,
No Locking, 1, 1000000, 2774,
Locking V1, 1, 1000000, 159588,
No Locking, 2, 1000000, 3882,
Locking V1, 2, 1000000, 90297,
No Locking, 4, 1000000, 11910,
Locking V1, 4, 1000000, 238483,
No Locking, 10, 1000000, 40645,
Locking V1, 10, 1000000, 737520,
No Locking, 20, 1000000, 84825,
Locking V1, 20, 1000000, 1360574,
No Locking, 0, 1000000, 2063,
Locking V1, 0, 1000000, 6007,
No Locking, 1, 1000000, 2784,
Locking V1, 1, 1000000, 151826,
No Locking, 2, 1000000, 7938,
Locking V1, 2, 1000000, 95567,
No Locking, 4, 1000000, 12938,
Locking V1, 4, 1000000, 242579,
No Locking, 10, 1000000, 39161,
Locking V1, 10, 1000000, 677718,
No Locking, 20, 1000000, 82501,
Locking V1, 20, 1000000, 1461502,
No Locking, 0, 1000000, 2093,
Locking V1, 0, 1000000, 6133,
No Locking, 1, 1000000, 2868,
Locking V1, 1, 1000000, 119107,
No Locking, 2, 1000000, 8063,
Locking V1, 2, 1000000, 72337,
No Locking, 4, 1000000, 12424,
Locking V1, 4, 1000000, 233767,
No Locking, 10, 1000000, 37224,
Locking V1, 10, 1000000, 702539,
No Locking, 20, 1000000, 83301,
Locking V1, 20, 1000000, 1163379,
No Locking, 0, 1000000, 2064,
Locking V1, 0, 1000000, 6198,
No Locking, 1, 1000000, 6009,
Locking V1, 1, 1000000, 156527,
No Locking, 2, 1000000, 3967,
Locking V1, 2, 1000000, 95823,
No Locking, 4, 1000000, 13334,
Locking V1, 4, 1000000, 242279,
No Locking, 10, 1000000, 42417,
Locking V1, 10, 1000000, 718870,
No Locking, 20, 1000000, 79038,
Locking V1, 20, 1000000, 1296391,
Locking V2 - Approx, 0, 1000000, 7996, 100
Locking V2 - Approx, 1, 1000000, 65615, 100
Locking V2 - Approx, 2, 1000000, 115553, 100
Locking V2 - Approx, 4, 1000000, 294832, 100
Locking V2 - Approx, 10, 1000000, 743417, 100
Locking V2 - Approx, 20, 1000000, 1334838, 100
Locking V2 - Approx, 0, 1000000, 7432, 10000
Locking V2 - Approx, 1, 1000000, 51763, 10000
Locking V2 - Approx, 2, 1000000, 91709, 10000
Locking V2 - Approx, 4, 1000000, 289947, 10000
Locking V2 - Approx, 10, 1000000, 723239, 10000
Locking V2 - Approx, 20, 1000000, 1388969, 10000
Locking V2 - Approx, 0, 1000000, 7878, 100
Locking V2 - Approx, 1, 1000000, 59252, 100
Locking V2 - Approx, 2, 1000000, 137378, 100
Locking V2 - Approx, 4, 1000000, 279865, 100
Locking V2 - Approx, 10, 1000000, 762086, 100
Locking V2 - Approx, 20, 1000000, 1314506, 100
Locking V2 - Approx, 0, 1000000, 7540, 10000
Locking V2 - Approx, 1, 1000000, 94488, 10000
Locking V2 - Approx, 2, 1000000, 129353, 10000
Locking V2 - Approx, 4, 1000000, 276438, 10000
Locking V2 - Approx, 10, 1000000, 708909, 10000
Locking V2 - Approx, 20, 1000000, 1333537, 10000
Locking V2 - Approx, 0, 1000000, 8131, 100
Locking V2 - Approx, 1, 1000000, 57912, 100
Locking V2 - Approx, 2, 1000000, 109689, 100
Locking V2 - Approx, 4, 1000000, 286156, 100
Locking V2 - Approx, 10, 1000000, 755876, 100
Locking V2 - Approx, 20, 1000000, 1373619, 100
Locking V2 - Approx, 0, 1000000, 7577, 10000
Locking V2 - Approx, 1, 1000000, 61675, 10000
Locking V2 - Approx, 2, 1000000, 118062, 10000
Locking V2 - Approx, 4, 1000000, 292507, 10000
Locking V2 - Approx, 10, 1000000, 742205, 10000
Locking V2 - Approx, 20, 1000000, 1320880, 10000
Locking V2 - Approx, 0, 1000000, 7810, 100
Locking V2 - Approx, 1, 1000000, 64981, 100
Locking V2 - Approx, 2, 1000000, 112339, 100
Locking V2 - Approx, 4, 1000000, 281294, 100
Locking V2 - Approx, 10, 1000000, 726906, 100
Locking V2 - Approx, 20, 1000000, 1359880, 100
Locking V2 - Approx, 0, 1000000, 7672, 10000
Locking V2 - Approx, 1, 1000000, 54245, 10000
